pokeDexId,name,type1,type2,total,hp,attack,defense,spAtk,spDef,speed,generation,legendary,attractivity,fertility,fitness,nogoTypes,attractedTypes,nogos,imgurl,nogosTypes
33,Nidorino,Poison,,365,61,72,57,55,55,65,1,False,0.79,0.15,0.07,,"['Dark', 'Rock']",,https://www.kaggle.com/kvpratama/pokemon-images-dataset#33.png,"['Ghost', 'Steel', 'Bug']"
34,Nidoking,Poison,Ground,505,81,102,77,85,75,85,1,False,0.13,0.52,0.16,,"['Electric', 'Grass', 'Fighting', 'Ghost']",,https://www.kaggle.com/kvpratama/pokemon-images-dataset#34.png,"['Steel', 'Ghost', 'Dragon', 'Ice', 'Psychic', 'Ground']"
35,Clefairy,Fairy,,323,70,45,48,60,65,35,1,False,0.74,0.98,0.78,,"['Ice', 'Fighting', 'Rock', 'Ghost']",,https://www.kaggle.com/kvpratama/pokemon-images-dataset#35.png,"['Psychic', 'Flying', 'Ground', 'Poison', 'Water', 'Ghost']"
36,Clefable,Fairy,,483,95,70,73,95,90,60,1,False,0.34,0.49,0.21,,"['Flying', 'Steel', 'Rock']",,https://www.kaggle.com/kvpratama/pokemon-images-dataset#36.png,"['Water', 'Ground', 'Electric', 'Grass']"
37,Vulpix,Fire,,299,38,41,40,50,65,65,1,False,0.45,0.02,0.8,,['Rock'],,https://www.kaggle.com/kvpratama/pokemon-images-dataset#37.png,"['Ice', 'Fire', 'Dark', 'Flying']"
38,Ninetales,Fire,,505,73,76,75,81,100,100,1,False,0.1,0.8,0.21,,"['Bug', 'Fire', 'Ground']",,https://www.kaggle.com/kvpratama/pokemon-images-dataset#38.png,"['Bug', 'Rock', 'Psychic', 'Dragon']"
39,Jigglypuff,Normal,Fairy,270,115,45,20,45,25,20,1,False,0.82,0.29,0.3,,"['Fire', 'Grass', 'Normal', 'Steel']",,https://www.kaggle.com/kvpratama/pokemon-images-dataset#39.png,"['Electric', 'Dark', 'Water']"
40,Wigglytuff,Normal,Fairy,435,140,70,45,85,50,45,1,False,0.37,0.68,0.55,,['Normal'],,https://www.kaggle.com/kvpratama/pokemon-images-dataset#40.png,"['Steel', 'Poison', 'Normal', 'Dragon']"
41,Zubat,Poison,Flying,245,40,45,35,30,40,55,1,False,0.7,0.96,0.73,,['Normal'],,https://www.kaggle.com/kvpratama/pokemon-images-dataset#41.png,"['Grass', 'Electric', 'Fighting', 'Steel', 'Bug']"
42,Golbat,Poison,Flying,455,75,80,70,65,75,90,1,False,0.97,0.53,0.97,,"['Ground', 'Electric', 'Flying', 'Water', 'Fighting']",,https://www.kaggle.com/kvpratama/pokemon-images-dataset#42.png,"['Bug', 'Psychic', 'Normal', 'Rock', 'Fighting', 'Grass']"
43,Oddish,Grass,Poison,320,45,50,55,75,65,30,1,False,0.69,0.81,0.16,,['Dark'],,https://www.kaggle.com/kvpratama/pokemon-images-dataset#43.png,"['Water', 'Bug', 'Steel', 'Fairy', 'Ground']"
44,Gloom,Grass,Poison,395,60,65,70,85,75,40,1,False,0.88,0.76,0.92,,"['Grass', 'Fire']",,https://www.kaggle.com/kvpratama/pokemon-images-dataset#44.png,"['Normal', 'Bug', 'Steel']"
45,Vileplume,Grass,Poison,490,75,80,85,110,90,50,1,False,0.86,0.11,0.52,,"['Water', 'Fairy', 'Steel']",,https://www.kaggle.com/kvpratama/pokemon-images-dataset#45.png,"['Flying', 'Dark', 'Poison', 'Electric', 'Ice']"
46,Paras,Bug,Grass,285,35,70,55,45,55,25,1,False,0.94,0.8,0.24,,"['Dark', 'Dragon', 'Normal', 'Grass']",,https://www.kaggle.com/kvpratama/pokemon-images-dataset#46.png,"['Ice', 'Normal', 'Water']"
47,Parasect,Bug,Grass,405,60,95,80,60,80,30,1,False,0.33,0.8,0.49,,['Grass'],,https://www.kaggle.com/kvpratama/pokemon-images-dataset#47.png,"['Fire', 'Ground', 'Water', 'Flying']"
48,Venonat,Bug,Poison,305,60,55,50,40,55,45,1,False,0.9,0.45,0.48,,['Steel'],,https://www.kaggle.com/kvpratama/pokemon-images-dataset#48.png,"['Grass', 'Water', 'Electric', 'Fairy', 'Steel']"
49,Venomoth,Bug,Poison,450,70,65,60,90,75,90,1,False,0.33,0.1,0.84,,"['Water', 'Dark']",,https://www.kaggle.com/kvpratama/pokemon-images-dataset#49.png,"['Fairy', 'Grass', 'Fire']"
50,Diglett,Ground,,265,10,55,25,35,45,95,1,False,0.37,0.04,0.84,,"['Ice', 'Rock', 'Fairy', 'Fire', 'Dark']",,https://www.kaggle.com/kvpratama/pokemon-images-dataset#50.png,"['Rock', 'Fighting', 'Bug', 'Ghost', 'Dragon', 'Dark']"
51,Dugtrio,Ground,,405,35,80,50,50,70,120,1,False,0.75,0.16,0.74,,"['Rock', 'Fighting']",,https://www.kaggle.com/kvpratama/pokemon-images-dataset#51.png,"['Dark', 'Normal', 'Bug', 'Ice']"
52,Meowth,Normal,,290,40,45,35,40,40,90,1,False,0.85,0.16,0.75,,"['Fairy', 'Electric', 'Ghost', 'Normal', 'Dark']",,https://www.kaggle.com/kvpratama/pokemon-images-dataset#52.png,"['Ghost', 'Ground', 'Poison', 'Rock', 'Electric']"
53,Persian,Normal,,440,65,70,60,65,65,115,1,False,0.92,0.76,0.46,,"['Fighting', 'Steel', 'Psychic', 'Ground']",,https://www.kaggle.com/kvpratama/pokemon-images-dataset#53.png,"['Normal', 'Dragon', 'Rock']"
54,Psyduck,Water,,320,50,52,48,65,50,55,1,False,0.3,0.59,0.78,,"['Ground', 'Dragon', 'Fire', 'Grass', 'Normal']",,https://www.kaggle.com/kvpratama/pokemon-images-dataset#54.png,"['Psychic', 'Bug', 'Normal', 'Ground']"
55,Golduck,Water,,500,80,82,78,95,80,85,1,False,0.38,0.42,0.31,,"['Rock', 'Water', 'Psychic', 'Fairy', 'Fire']",,https://www.kaggle.com/kvpratama/pokemon-images-dataset#55.png,"['Fire', 'Fairy', 'Ice', 'Grass', 'Steel']"
56,Mankey,Fighting,,305,40,80,35,35,45,70,1,False,0.89,0.77,0.42,,"['Flying', 'Ice', 'Ground']",,https://www.kaggle.com/kvpratama/pokemon-images-dataset#56.png,"['Ghost', 'Steel', 'Dragon', 'Fire']"
57,Primeape,Fighting,,455,65,105,60,60,70,95,1,False,0.73,0.58,0.04,,"['Grass', 'Fire', 'Electric', 'Water']",,https://www.kaggle.com/kvpratama/pokemon-images-dataset#57.png,"['Ice', 'Grass', 'Dragon', 'Dark', 'Ghost', 'Bug']"
58,Growlithe,Fire,,350,55,70,45,70,50,60,1,False,0.15,0.11,0.02,,"['Grass', 'Dragon', 'Fairy', 'Bug', 'Ghost']",,https://www.kaggle.com/kvpratama/pokemon-images-dataset#58.png,"['Fighting', 'Rock', 'Dragon']"
59,Arcanine,Fire,,555,90,110,80,100,80,95,1,False,0.34,0.84,0.15,,"['Fairy', 'Psychic', 'Bug', 'Poison', 'Ice']",,https://www.kaggle.com/kvpratama/pokemon-images-dataset#59.png,"['Ghost', 'Ice', 'Fire', 'Fighting', 'Dragon', 'Poison']"
60,Poliwag,Water,,300,40,50,40,40,40,90,1,False,0.64,0.14,0.93,,['Bug'],,https://www.kaggle.com/kvpratama/pokemon-images-dataset#60.png,"['Fighting', 'Grass', 'Normal', 'Ghost', 'Fire']"
61,Poliwhirl,Water,,385,65,65,65,50,50,90,1,False,0.49,0.7,0.05,,"['Poison', 'Bug', 'Ghost']",,https://www.kaggle.com/kvpratama/pokemon-images-dataset#61.png,"['Bug', 'Grass', 'Water', 'Fighting']"
62,Poliwrath,Water,Fighting,510,90,95,95,70,90,70,1,False,0.9,0.51,0.88,,"['Steel', 'Fire', 'Psychic', 'Fairy', 'Ice']",,https://www.kaggle.com/kvpratama/pokemon-images-dataset#62.png,"['Dark', 'Fairy', 'Normal']"
63,Abra,Psychic,,310,25,20,15,105,55,90,1,False,0.85,0.63,0.84,,"['Electric', 'Dragon', 'Poison', 'Ghost', 'Bug']",,https://www.kaggle.com/kvpratama/pokemon-images-dataset#63.png,"['Water', 'Flying', 'Ghost', 'Fire', 'Fighting', 'Ground']"
64,Kadabra,Psychic,,400,40,35,30,120,70,105,1,False,0.35,0.62,0.51,,['Fire'],,https://www.kaggle.com/kvpratama/pokemon-images-dataset#64.png,"['Dark', 'Fire', 'Electric', 'Poison']"
65,Alakazam,Psychic,,500,55,50,45,135,95,120,1,False,0.19,0.04,0.58,,"['Fairy', 'Dragon', 'Grass', 'Psychic', 'Flying']",,https://www.kaggle.com/kvpratama/pokemon-images-dataset#65.png,"['Electric', 'Fire', 'Ground']"
66,Machop,Fighting,,305,70,80,50,35,35,35,1,False,0.21,0.66,0.29,,"['Dark', 'Fire', 'Grass']",,https://www.kaggle.com/kvpratama/pokemon-images-dataset#66.png,"['Fairy', 'Psychic', 'Dark', 'Steel']"
67,Machoke,Fighting,,405,80,100,70,50,60,45,1,False,0.7,0.58,0.91,,"['Flying', 'Ice', 'Ground']",,https://www.kaggle.com/kvpratama/pokemon-images-dataset#67.png,"['Flying', 'Dark', 'Water', 'Rock', 'Psychic', 'Ice']"
68,Machamp,Fighting,,505,90,130,80,65,85,55,1,False,0.7,0.68,0.01,,"['Flying', 'Ice', 'Normal']",,https://www.kaggle.com/kvpratama/pokemon-images-dataset#68.png,"['Ground', 'Normal', 'Fairy', 'Water']"
69,Bellsprout,Grass,Poison,300,50,75,35,70,30,40,1,False,0.94,0.6,0.91,,"['Psychic', 'Fire', 'Poison', 'Ice']",,https://www.kaggle.com/kvpratama/pokemon-images-dataset#69.png,"['Ghost', 'Dark', 'Dragon', 'Ice', 'Fire', 'Water']"
70,Weepinbell,Grass,Poison,390,65,90,50,85,45,55,1,False,0.18,0.44,0.7,,"['Fighting', 'Dragon', 'Steel', 'Ghost']",,https://www.kaggle.com/kvpratama/pokemon-images-dataset#70.png,"['Ghost', 'Grass', 'Steel', 'Ice', 'Psychic', 'Flying']"
71,Victreebel,Grass,Poison,490,80,105,65,100,70,70,1,False,0.22,0.22,0.64,,"['Psychic', 'Fire']",,https://www.kaggle.com/kvpratama/pokemon-images-dataset#71.png,"['Grass', 'Rock', 'Fighting', 'Fairy', 'Electric']"
72,Tentacool,Water,Poison,335,40,40,35,50,100,70,1,False,0.83,0.25,0.33,,"['Flying', 'Psychic', 'Fairy', 'Dragon']",,https://www.kaggle.com/kvpratama/pokemon-images-dataset#72.png,"['Water', 'Fairy', 'Electric', 'Dragon']"
73,Tentacruel,Water,Poison,515,80,70,65,80,120,100,1,False,0.37,0.14,0.17,,"['Fire', 'Poison', 'Normal', 'Electric', 'Bug']",,https://www.kaggle.com/kvpratama/pokemon-images-dataset#73.png,"['Ground', 'Fighting', 'Psychic']"
74,Geodude,Rock,Ground,300,40,80,100,30,30,20,1,False,0.28,0.14,0.34,,['Ghost'],,https://www.kaggle.com/kvpratama/pokemon-images-dataset#74.png,"['Dragon', 'Electric', 'Ghost', 'Flying']"
75,Graveler,Rock,Ground,390,55,95,115,45,45,35,1,False,0.33,0.28,0.72,,['Electric'],,https://www.kaggle.com/kvpratama/pokemon-images-dataset#75.png,"['Fighting', 'Ice', 'Ground', 'Normal', 'Psychic']"
76,Golem,Rock,Ground,495,80,120,130,55,65,45,1,False,0.94,0.32,0.47,,"['Dragon', 'Grass', 'Water']",,https://www.kaggle.com/kvpratama/pokemon-images-dataset#76.png,"['Flying', 'Fighting', 'Normal']"
77,Ponyta,Fire,,410,50,85,55,65,65,90,1,False,0.86,0.19,0.85,,"['Fairy', 'Bug', 'Poison', 'Rock']",,https://www.kaggle.com/kvpratama/pokemon-images-dataset#77.png,"['Fire', 'Dragon', 'Normal', 'Ghost', 'Psychic']"
78,Rapidash,Fire,,500,65,100,70,80,80,105,1,False,0.52,0.93,0.5,,"['Steel', 'Water', 'Ground']",,https://www.kaggle.com/kvpratama/pokemon-images-dataset#78.png,"['Bug', 'Water', 'Fairy']"
79,Slowpoke,Water,Psychic,315,90,65,65,40,40,15,1,False,0.06,0.83,0.13,,"['Fighting', 'Fairy', 'Electric', 'Bug']",,https://www.kaggle.com/kvpratama/pokemon-images-dataset#79.png,"['Psychic', 'Grass', 'Rock', 'Poison', 'Bug']"
80,Slowbro,Water,Psychic,490,95,75,110,100,80,30,1,False,0.61,0.75,0.67,,"['Flying', 'Ghost', 'Dragon', 'Ground', 'Fire']",,https://www.kaggle.com/kvpratama/pokemon-images-dataset#80.png,"['Grass', 'Fighting', 'Normal', 'Ground', 'Psychic', 'Water']"
81,Magnemite,Electric,Steel,325,25,35,70,95,55,45,1,False,0.59,0.72,0.47,,"['Rock', 'Steel']",,https://www.kaggle.com/kvpratama/pokemon-images-dataset#81.png,"['Bug', 'Electric', 'Water']"
82,Magneton,Electric,Steel,465,50,60,95,120,70,70,1,False,0.31,0.01,0.68,,"['Fire', 'Ground']",,https://www.kaggle.com/kvpratama/pokemon-images-dataset#82.png,"['Psychic', 'Poison', 'Ghost', 'Grass']"
83,Farfetch'd,Normal,Flying,352,52,65,55,58,62,60,1,False,0.31,0.32,0.34,,"['Grass', 'Electric', 'Flying', 'Ground', 'Ice']",,https://www.kaggle.com/kvpratama/pokemon-images-dataset#83.png,"['Fairy', 'Poison', 'Grass']"
84,Doduo,Normal,Flying,310,35,85,45,35,35,75,1,False,0.89,0.23,0.78,,"['Fairy', 'Dark', 'Psychic']",,https://www.kaggle.com/kvpratama/pokemon-images-dataset#84.png,"['Poison', 'Fighting', 'Ghost', 'Dark', 'Electric']"
85,Dodrio,Normal,Flying,460,60,110,70,60,60,100,1,False,0.4,0.45,0.36,,"['Grass', 'Normal', 'Steel', 'Fighting', 'Rock']",,https://www.kaggle.com/kvpratama/pokemon-images-dataset#85.png,"['Grass', 'Dragon', 'Rock', 'Steel', 'Fire']"
86,Seel,Water,,325,65,45,55,45,70,45,1,False,0.56,0.3,0.73,,"['Water', 'Fairy', 'Flying']",,https://www.kaggle.com/kvpratama/pokemon-images-dataset#86.png,"['Dark', 'Fairy', 'Normal', 'Water']"
87,Dewgong,Water,Ice,475,90,70,80,70,95,70,1,False,0.66,0.03,0.96,,"['Rock', 'Normal']",,https://www.kaggle.com/kvpratama/pokemon-images-dataset#87.png,"['Bug', 'Flying', 'Dark', 'Normal', 'Ghost', 'Steel']"
88,Grimer,Poison,,325,80,80,50,40,50,25,1,False,0.21,0.15,0.36,,"['Fighting', 'Psychic', 'Fire', 'Ground']",,https://www.kaggle.com/kvpratama/pokemon-images-dataset#88.png,"['Poison', 'Fighting', 'Normal', 'Ground', 'Ghost']"
89,Muk,Poison,,500,105,105,75,65,100,50,1,False,0.87,0.61,0.88,,"['Rock', 'Dark', 'Fighting', 'Dragon', 'Bug']",,https://www.kaggle.com/kvpratama/pokemon-images-dataset#89.png,"['Rock', 'Electric', 'Psychic', 'Water']"
90,Shellder,Water,,305,30,65,100,45,25,40,1,False,0.61,0.2,0.48,,"['Ground', 'Grass']",,https://www.kaggle.com/kvpratama/pokemon-images-dataset#90.png,"['Fighting', 'Ice', 'Ground', 'Flying', 'Ghost', 'Fairy']"
91,Cloyster,Water,Ice,525,50,95,180,85,45,70,1,False,0.49,0.49,0.81,,"['Rock', 'Ice', 'Ghost']",,https://www.kaggle.com/kvpratama/pokemon-images-dataset#91.png,"['Dark', 'Steel', 'Electric', 'Normal']"
92,Gastly,Ghost,Poison,310,30,35,30,100,35,80,1,False,0.84,0.79,0.57,,"['Steel', 'Normal', 'Poison', 'Ground', 'Electric']",,https://www.kaggle.com/kvpratama/pokemon-images-dataset#92.png,"['Electric', 'Fighting', 'Dragon', 'Fire', 'Ice', 'Rock']"
93,Haunter,Ghost,Poison,405,45,50,45,115,55,95,1,False,0.63,0.68,0.02,,"['Poison', 'Fighting', 'Bug']",,https://www.kaggle.com/kvpratama/pokemon-images-dataset#93.png,"['Poison', 'Ice', 'Psychic', 'Grass']"
94,Gengar,Ghost,Poison,500,60,65,60,130,75,110,1,False,0.63,0.37,0.94,,['Steel'],,https://www.kaggle.com/kvpratama/pokemon-images-dataset#94.png,"['Fairy', 'Fighting', 'Ghost', 'Poison', 'Water', 'Fire']"
95,Onix,Rock,Ground,385,35,45,160,30,45,70,1,False,0.96,0.78,0.65,,"['Water', 'Ice']",,https://www.kaggle.com/kvpratama/pokemon-images-dataset#95.png,"['Electric', 'Bug', 'Rock', 'Dark', 'Fighting']"
96,Drowzee,Psychic,,328,60,48,45,43,90,42,1,False,0.49,0.0,0.61,,"['Fighting', 'Fire', 'Dragon', 'Fairy', 'Ground']",,https://www.kaggle.com/kvpratama/pokemon-images-dataset#96.png,"['Ice', 'Dragon', 'Ground']"
97,Hypno,Psychic,,483,85,73,70,73,115,67,1,False,0.3,0.5,0.87,,"['Bug', 'Fighting', 'Ghost', 'Dragon', 'Water']",,https://www.kaggle.com/kvpratama/pokemon-images-dataset#97.png,"['Steel', 'Dark', 'Dragon']"
98,Krabby,Water,,325,30,105,90,25,25,50,1,False,0.25,0.7,0.3,,"['Grass', 'Bug', 'Dark', 'Ground', 'Water']",,https://www.kaggle.com/kvpratama/pokemon-images-dataset#98.png,"['Fighting', 'Dragon', 'Normal', 'Fairy', 'Fire']"
99,Kingler,Water,,475,55,130,115,50,50,75,1,False,0.77,0.8,0.39,,"['Flying', 'Fairy', 'Grass', 'Electric']",,https://www.kaggle.com/kvpratama/pokemon-images-dataset#99.png,"['Dark', 'Water', 'Rock']"
100,Voltorb,Electric,,330,40,30,50,55,55,100,1,False,0.08,0.14,0.87,,['Steel'],,https://www.kaggle.com/kvpratama/pokemon-images-dataset#100.png,"['Dark', 'Fire', 'Steel', 'Flying']"
101,Electrode,Electric,,480,60,50,70,80,80,140,1,False,0.54,0.62,0.26,,"['Fighting', 'Dragon', 'Ground']",,https://www.kaggle.com/kvpratama/pokemon-images-dataset#101.png,"['Electric', 'Dragon', 'Ice', 'Poison', 'Fairy', 'Steel']"
102,Exeggcute,Grass,Psychic,325,60,40,80,60,45,40,1,False,0.64,0.61,0.72,,"['Electric', 'Poison', 'Steel']",,https://www.kaggle.com/kvpratama/pokemon-images-dataset#102.png,"['Dragon', 'Fire', 'Flying', 'Water', 'Dark', 'Ground']"
103,Exeggutor,Grass,Psychic,520,95,95,85,125,65,55,1,False,0.37,0.22,0.6,,"['Flying', 'Fighting', 'Dark', 'Ground']",,https://www.kaggle.com/kvpratama/pokemon-images-dataset#103.png,"['Rock', 'Ice', 'Dark', 'Grass', 'Normal', 'Flying']"
104,Cubone,Ground,,320,50,50,95,40,50,35,1,False,0.12,0.91,0.62,,"['Ice', 'Psychic', 'Fire', 'Normal', 'Dragon']",,https://www.kaggle.com/kvpratama/pokemon-images-dataset#104.png,"['Rock', 'Ghost', 'Steel', 'Grass', 'Electric', 'Psychic']"
105,Marowak,Ground,,425,60,80,110,50,80,45,1,False,0.94,0.01,0.14,,"['Ghost', 'Rock', 'Normal', 'Electric']",,https://www.kaggle.com/kvpratama/pokemon-images-dataset#105.png,"['Normal', 'Fairy', 'Grass', 'Rock']"
106,Hitmonlee,Fighting,,455,50,120,53,35,110,87,1,False,0.81,0.14,0.29,,['Bug'],,https://www.kaggle.com/kvpratama/pokemon-images-dataset#106.png,"['Ice', 'Fire', 'Ground', 'Ghost', 'Water', 'Normal']"
107,Hitmonchan,Fighting,,455,50,105,79,35,110,76,1,False,0.06,0.04,0.13,,['Ice'],,https://www.kaggle.com/kvpratama/pokemon-images-dataset#107.png,"['Fighting', 'Flying', 'Electric', 'Ice', 'Grass', 'Dark']"
